NFL stats,,
,Score,Opponent’s Score
Chiefs,23,14
Chiefs,32,29
Chiefs,27,20
Chiefs,26,25
Chiefs,22,17
Chiefs,17,10
Chiefs,26,13
Chiefs,28,18
Chiefs,27,20
Chiefs,30,24
Chiefs,16,14
Chiefs,21,30
Chiefs,30,27
Chiefs,19,17
Chiefs,19,17
Chiefs,21,7
49ers,32,19
49ers,17,23
49ers,24,27
49ers,30,13
49ers,23,24
49ers,36,24
49ers,18,28
49ers,30,24
49ers,23,20
49ers,17,20
49ers,10,38
49ers,10,35
49ers,38,13
49ers,6,12
49ers,17,29
49ers,34,40
