displayName,displayValue,perGameDisplayValue,rankDisplayValue,description
Fumbles,21,1,Tied-14th,The number of times a player/team has fumbled the ball,
Fumbles Lost,6,Tied-25th,The number of times a fumble is recovered by the opposing team,
Forced Fumbles,8,20th,The total number of forced fumbles.,
Fumbles Recovered,6,1,Tied-27th,The number of fumbles recovered.,
Fumbles Touchdowns,1,Tied-4th,The number of times a fumbles is recovered and returned for a touchdown.,
Games Played,17,Tied-1st,Games Played,
Two Point Returns,0,Tied-1st,The number of two point attempts that is returned by the offense.,
Fumbles Touchdowns,0,Tied-2nd,The number of times a fumbles is recovered and returned for a touchdown by the offense.,
Fumbles Touchdowns,1,Tied-4th,The number of times a fumbles is recovered and returned for a touchdown by the defense.,
Average Gain,536.9,18th,The average gained yards per position.,
Completion Percentage,64.0,64.285,20th,The percentage of completed passes.,
Completions,355,20,Tied-19th,The times a player completes a pass to another player who is eligible to catch a pass.,
ESPN Quarterback Rating,4330.0,25th,The quarterback rating used to compare overall offensive performance relative to other positions.,
Interception Percentage,2.16,2.289,14th,The percentage of passes thrown that were intercepted by the opposing team.,
Interceptions,12,Tied-13th,The number of passes thrown that were intercepted by the opposing team.,
Longest Pass,69,33,20th,The longest pass play completed in terms of yards.,
Miscellaneous Yards,0,Tied-1st,The number of miscellaneous yards.,
Net Passing Yards,3,144,184,26th,The amount of net passing yards.,
Net Passing Yards Per Game,184.9,26th,The amount of net passing yards per game.,
Net Total Yards,5,509,323,19th,The amount of net total yards.,
Net Yards Per Game,324.1,19th,The amount of net total yards per game.,
Passing Attempts,555,32,24th,The number of times a pass is attempted.,
Passing Big Plays,38,28th,The number of times a pass results in a big play.,
Passing 1st downs,173,10,Tied-23rd,The number of times a pass results in a first down.,
Passing Fumbles,10,Tied-12th,The number of times the ball has been fumbled after a completed pass.,
Passing Fumbles Lost,4,Tied-19th,The number of times the ball has been fumbled and lost to the opposing team after a completed pass.,
Passing Touchdown %,3.24,3.125,24th,The percentage of passes that result in a touchdown.,
Passing Touchdowns,18,1,Tied-24th,The total number of passing touchdowns.,
Passing Yards,3,430,201,26th,The total passing yards.,
Passing Yards After Catch,1,678,28th,The amount of passing yards after catch.,
Passing Yards At Catch,1,752,201,25th,The amount of passing yards when the catch is made.,
Passing Yards Per Game,201.8,26th,The number of passing yards per game.,
Passer Rating,82.9,90.755,24th,Passer Rating,
Total Sacks,42,2,14th,The total number of sacks.,
Sack Yards Lost,286,16,Tied-18th,The amount of yards lost due to sacks.,
Net Passing Attempts,597,34,38th,Net Passing Attempts.,
Team Games Played,17,Tied-1st,The amount of games played.,
Total Offensive Plays,1068,61,51st,The number of total offensive plays.,
Total Points,330,18,24th,The number of total points scored.,
Total Points Per Game,19.4,24th,The number of points scored per game.,
Total Touchdowns,36,2,Tied-23rd,The number of touchdowns scored in total.,
Total Yards,5,795,324,20th,The number of yards accumulated in total.,
Total Yards From Scrimmage,5795,340,Tied-1st,The amound of total yards from the line of scrimmage.,
Two Point Pass Conversions,2,Tied-11th,The number of times a 2-point conversion is successful with a pass.,
Two Point Pass,1,Tied-12th,The number of times a pass was thrown for 2 points.,
Two Point Pass Attempts,7,1,1st,The number of times a pass was attempted on a 2-point conversion.,
Yards From Scrimmage Per Game,341,20th,The yards gained from scrimmage per game.,
Yards Per Completion,9.7,8.761,30th,The average number of yards per pass completion.,
Yards Per Game,340.9,20th,The average number of yards per game.,
Yards Per Pass Attempt,6.2,6.215,29th,The average number yards per pass attempt.,
Net Yards Per Pass Attempt,5.3,5.412,The average number net yards (taking sack yardage into account) per pass attempt.,
Quarterback Rating,82.9,90.755,24th,Quarterback Rating.,
Average Gain,536.9,18th,The average gained yards per position.,
ESPN RB Rating,2870.00,5th,The ESPN Widereceiver Rating.,
Long Rushing,49,24,15th,The amount of yards for the longest run.,
Miscellaneous Yards,0,Tied-1st,The amount of miscellaneous yards.,
Net Total Yards,5,509,323,19th,The amount of total net yards.,
Net Yards Per Game,324.1,19th,The total net yards gained per game.,
Rushing Attempts,471,27,13th,The total number of attempted rushes.,
20+ Yard Rushing Plays,23,1st,The number of rushing big plays gained.,
Rushing 1st downs,127,7,6th,The number of times a first down is picked up by a run.,
Rushing Fumbles,23,1st,The number of times there is a run and then the ball is fumbled.,
Rushing Fumbles Lost,0,Tied-28th,The number of times there is a run and then the ball is fumbled.,
Rushing Touchdowns,17,1,Tied-9th,The total number of rushing touchdowns.,
Rushing Yards,2,365,139,4th,The total rushing yards.,
Rushing Yards Per Game,139.1,4th,The average number of rushing yards per game.,
Stuffs,64,5th,The number of times a run is stopped at or behind the line of scrimmage.,
Stuff Yards Lost,-129,27th,The number of yards lost when a run is stuffed.,
Team Games Played,17,Tied-1st,The numbers of team games played.,
Total Offensive Plays,1068,61,51st,The number of offenseive plays run.,
Total Points,330,18,24th,The number of total points earned.,
Total Points Per Game,19.4,24th,The average number of points scored per game.,
Total Touchdowns,36,2,Tied-23rd,The number of total Touchdowns scored.,
Total Yards,5,795,324,20th,The number of total yards gained.,
Total Yards From Scrimmage,5795,340,Tied-1st,The number of yards gained from the line of scrimmage.,
Two Point Rush Conversion,0,Tied-4th,The number of times a 2-point is converted with a run.,
Two Point Rush,3,2nd,The number of rushes on 2-point attempts.,
Two Point Rush Attempts,6,1,2nd,The number of times a 2-point conversion is attempted with a rush.,
Yards From Scrimmage Per Game,340.9,20th,The average number of yards gained from scrimmage per game.,
Yards Per Game,340.9,20th,The average number of yards per game.,
Yards Per Rush Attempt,5.0,4.96,2nd,The average number of yards per rush attempt.,
Average Gain,536.9,18th,The average gained yards per position.,
ESPN Widereceiver Rating,5835.00,25th,The ESPN Widereceiver Rating.,
Long Reception,69,33,20th,The amount of yards for the longest reception.,
Miscellaneous Yards,0,Tied-1st,The amount of miscellaneous yards.,
Net Total Yards,5,509,323,19th,The amount of total net yards.,
Net Yards Per Game,324.1,19th,The total net yards gained per game.,
20+ Yard Receiving Plays,38,28th,The number of receiving big plays gained.,
Receiving First Downs,173,Tied-23rd,The number of times a first down is picked up by a reception.,
Receiving Fumbles,10,Tied-12th,The number of times a reception is made and then the ball is fumbled.,
Receiving Fumbles Lost,4,Tied-19th,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,
Receiving Targets,540,31,21st,The number of times a receiver is thrown to.,
Receiving Touchdowns,18,1,Tied-24th,The total number of receiving touchdowns.,
Receiving Yards,3,430,201,26th,The total receiving yards.,
Receiving Yards After Catch,1678,98,28th,The number of yards gained after the catch has been made.,
Receiving Yards At Catch,1752,103,25th,The number of yards gained at the time the catch is made.,
Receiving Yards Per Game,201.8,26th,The average number of receiving yards per game.,
Receptions,355,20,Tied-19th,The total number of receptions.,
Team Games Played,17,Tied-1st,The numbers of team games played.,
Total Offensive Plays,1068,61,51st,The number of offenseive plays run.,
Total Points,330,18,24th,The number of total points earned.,
Total Points Per Game,19.4,24th,The average number of points scored per game.,
Total Touchdowns,36,2,Tied-23rd,The number of total Touchdowns scored.,
Total Yards,5,795,324,20th,The number of total yards gained.,
Total Yards From Scrimmage,5795,340,Tied-1st,The number of yards gained from the line of scrimmage.,
Two Point Receiving Conversion,540,31,21st,The number of times a 2-point is converted with a reception.,
Two Point Receptions,1,Tied-12th,The number of receptions on 2-point attempts.,
Two Point Reception Attempts,7,1,1st,The number of times a 2-point conversion is attempted with a reception.,
Yards From Scrimmage Per Game,340.9,20th,The average number of yards gained from scrimmage per game.,
Yards Per Game,340.9,20th,The average number of yards per game.,
Yards Per Reception,9.7,9.671,30th,The average number of yards per reception.,
Assist Tackles,449,24,Tied-10th,The number of assists on tackles.,
Average Interception Yards,8.9,7.481,25th,The average number of return yards per interception.,
Average Sack Yards,7.1,6.965,9th,The average number of yards lost per sack.,
Average Stuff Yards,4.7,29th,The average number of yards lost per stuff.,
Block Field Goal Touchdown,0,Tied-2nd,The number of blocked field goals that were returned for a touchdown.,
Blocked Punt Touchdowns,0,Tied-8th,The number of blocked punts that were returned for touchdowns.,
Defensive Touchdown,1,Tied-19th,The number of touchdowns recorded on defense.,
Hurries,0,Tied-1st,The number of times that the quarterback is hurried.,
Kicks Blocked,0,Tied-22nd,The number of times a kick was blocked.,
Long Interception,46,18th,The amount of yards of the longest interception return.,
Miscellaneous Touchdowns,0,Tied-3rd,The number of miscellaneous touchdowns.,
Passes Batted Down,0,Tied-1st,The number of passes that were batted down.,
Passes Defended,66,3,Tied-25th,The total number of passes defended.,
Two Point Returns,0,Tied-2nd,The number of two point attempts that is returned by the defense.,
Sacks,33,1.941,30th,The total number of sacks.,
Sack Yards,233,13.706,29th,The number of yards lost from sacks.,
Safeties,0,Tied-9th,The number of times the offense is tackled in their own endzone.,
Solo Tackles,769,41,Tied-66th,The number of times a tackle was made unassisted.,
Stuffs,43,3,Tied-9th,The number of times that a runner is stuffed at or behind the line of scrimmage.,
Stuff Yards,200,29th,The number of yards lost from stuffs.,
Tackles For Loss,76,4.471,Tied-21st,The number of tackles that result in a loss of yardage.,
Team Games Played,17,Tied-1st,The numbers of team games played.,
Total Tackles,1218,65,Tied-76th,The total number of tackles.,
Yards Allowed,0,Tied-1st,Yards allowed,
Points Allowed,0,Tied-1st,Points allowed,
One Point Safeties Made,0,Tied-1st,One Point Safeties Made,
Missed Field Goal Return TD,0,Tied-1st,The number of Missed Field Goal Return TD.,
Blocked Punt Ez Rec TD,0,Tied-1st,The number of Blocked Punt EZ Rec TD,
Interceptions,11,Tied-19th,The total number of interceptions.,
Interception Touchdowns,0,Tied-24th,The number of times an interception is returned for a touchdown.,
Interception Yards,98,5,23rd,The number of yards gained after an interception.,
Average Kickoff Return Yards,21.2,14.598,2nd,The average number of yards per kickoff return.,
Average Kickoff Yards,61.3,5.789,4th,The average number of yards per kickoff.,
Extra Point Attempts,23,1,4th,The number of extra point attempts.,
Extra Point Percentage,95.7,80.392,3rd,The percentage of extra point attempts that are converted.,
Extra Point Blocked,0,Tied-1st,The number of extra points blocked.,
Extra Points Blocked Percentage,0,Tied-1st,The percentage of extra points attempts that are blocked.,
Extra Points Made,22,1,4th,The number of extra point attempts made.,
Fair Catches,2,3rd,The number of fair catches.,
Fair Catch Percentage,2.5,9.19,3rd,The percentage of kicks that are fair catches.,
Field Goal Attempts,33,1,3rd,The number of times a field goal is attempted.,
Field Goal Attempts 1-19,0,Tied-1st,The number of field goals attempted from 1-19 yards.,
Field Goal Attempts 20-29,6,4th,The number of field goals attempted from 20-29 yards.,
Field Goal Attempts 30-39,8,3rd,The number of field goals attempted from 30-39 yards.,
Field Goal Attempts 40-49,7,3rd,The number of field goals attempted from 40-49 yards.,
Field Goal Attempts 50-59,11,1st,The number of field goals attempted from 50-59 yards.,
Field Goal Attempts 60-99,1,1st,The number of field goals attempted from 60-99 yards.,
Field Goal Attempts 50+,12,2nd,The number of field goals attempted from 50+ yards.,
Field Goal Attempt Yards,1,413,89,3rd,The number of yards for field goal attempts.,
Field Goal Percentage,84.8,74.51,1st,The percentage of field goals attempted that are made.,
Field Goals Blocked,0,Tied-1st,The number of field goals that are blocked.,
Field Goals Blocked Percentage,0.0,Tied-1st,The percentage of field goals attempted that are blocked.,
Field Goal Made,28,1,3rd,The number of times a field goal is made.,
Field Goals Made 1-19,0,Tied-1st,The number of field goals made from 1-19 yards.,
Field Goals Made 20-29,6,4th,The number of field goals made from 20-29 yards.,
Field Goals Made 30-39,7,Tied-3rd,The number of field goals made from 30-39 yards.,
Field Goals Made 40-49,6,3rd,The number of field goals made from 40-49 yards.,
Field Goals Made 50-59,8,1st,The number of field goals made from 50-59 yards.,
Field Goals Made 60-99,1,1st,The number of field goals made from 60-99 yards.,
Field Goals Made 50+,9,2nd,The number of field goals made from 50+ yards.,
Field Goals Made Yards,1,174,75,2nd,The total amount of yardage of field goals made.,
Field Goals Missed Yards,239,14,3rd,The total amount of yardage of missed field goals.,
Kickoff Returns,18,1,3rd,The number of times a kickoff was returned.,
Kickoff Return Touchdowns,0,Tied-1st,The number of times a kickoff was returned for a touchdown.,
Kickoff Return Yards,382,22,2nd,The total amount of yardage of kick returns.,
Kickoffs,79,4,4th,The number of kickoffs taken.,
Kickoff Yards,4,846,25,4th,The total amount of yardage of kickoffs.,
Long Field Goal Attempt,62,1st,The distance of the longest field goal attempt.,
Long Field Goal Made,62,40,1st,The distance of the longest field goal made.,
Long Kickoff,70,25,3rd,The distance of the longest kickoff.,
Team Games Played,17,Tied-1st,The numbers of team games played.,
Total Kicking Points,106,6,4th,The number of total points earned kicking.,
Touchback Percentage,84,83.264,2nd,The percentage of kickoffs that are touchbacks.,
Touchbacks,66,3,2nd,The number of kickoffs that result in touchbacks.,
Defensive Fumbles Returns,0,Tied-1st,The number of fumble returns.,
Defensive Fumble Return Yards,0,Tied-1st,The amount of total yardage from fumble returns.,
Fumble Recoveries,6,Tied-27th,The number of fumble recoveries.,
Fumble Recovery Yards,4,30th,The amount of total yardage from fumble recoveries.,
