2025-02-21 13:47:01,932 Tello instance was initialized. Host: '192.168.10.1'. Port: '8889'.
2025-02-21 13:47:02,141 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,170 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,205 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,239 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,305 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,337 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,370 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,404 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,439 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,472 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,505 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,538 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,572 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,606 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,639 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,673 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,707 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,739 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,774 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,807 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,840 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,874 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,909 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,943 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:02,976 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:03,009 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:03,042 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:03,076 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:03,111 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:03,144 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 13:47:03,178 Sending RC control: lr=0, fb=0, ud=0, yaw=0
