2025-02-21 12:03:50,970 Tello instance was initialized. Host: '192.168.10.1'. Port: '8889'.
2025-02-21 12:03:51,143 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,177 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,210 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,259 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,313 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,347 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,380 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,414 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,448 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,493 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,527 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,560 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,593 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,637 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,676 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,711 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,745 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,779 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,813 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,846 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,886 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,919 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,953 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 12:03:51,987 Sending RC control: lr=0, fb=0, ud=0, yaw=0
