2025-02-19 12:45:14,490 Tello instance was initialized. Host: '192.168.10.1'. Port: '8889'.
2025-02-19 12:45:21,499 Aborting command 'command'. Did not receive a response after 7 seconds
2025-02-19 12:45:28,595 Aborting command 'command'. Did not receive a response after 7 seconds
2025-02-19 12:45:56,465 Tello instance was initialized. Host: '192.168.10.1'. Port: '8889'.
2025-02-19 12:45:56,567 'utf-8' codec can't decode byte 0xcc in position 0: invalid continuation byte
2025-02-19 12:45:59,058 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,090 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,123 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,157 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,191 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,223 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,259 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,310 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,344 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,378 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,417 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,450 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,484 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,516 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,550 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,586 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,620 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,652 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,693 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,726 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,761 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,793 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,826 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,860 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,893 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,928 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,961 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:59,996 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:46:00,029 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:46:00,063 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:46:00,097 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:46:00,130 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:46:00,164 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:46:00,198 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:46:00,232 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:46:00,266 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:46:00,299 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:46:00,333 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:46:00,366 Sending RC control: lr=0, fb=0, ud=0, yaw=0
