2025-02-21 14:00:22,470 Tello instance was initialized. Host: '192.168.10.1'. Port: '8889'.
2025-02-21 14:00:29,563 Aborting command 'command'. Did not receive a response after 7 seconds
2025-02-21 14:00:43,003 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:43,036 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:43,070 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:43,104 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:43,138 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:43,172 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:43,205 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:43,239 Sending RC control: lr=0, fb=0, ud=100, yaw=0
2025-02-21 14:00:43,273 Sending RC control: lr=0, fb=0, ud=100, yaw=0
2025-02-21 14:00:43,307 Sending RC control: lr=0, fb=0, ud=100, yaw=0
2025-02-21 14:00:43,340 Sending RC control: lr=0, fb=0, ud=100, yaw=0
2025-02-21 14:00:43,374 Sending RC control: lr=0, fb=0, ud=100, yaw=0
2025-02-21 14:00:43,407 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:43,440 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:43,476 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:43,528 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:43,571 Sending RC control: lr=0, fb=100, ud=0, yaw=0
2025-02-21 14:00:43,604 Sending RC control: lr=0, fb=100, ud=0, yaw=0
2025-02-21 14:00:43,637 Sending RC control: lr=0, fb=100, ud=0, yaw=0
2025-02-21 14:00:43,672 Sending RC control: lr=0, fb=100, ud=0, yaw=0
2025-02-21 14:00:43,705 Sending RC control: lr=0, fb=100, ud=0, yaw=0
2025-02-21 14:00:43,739 Sending RC control: lr=0, fb=100, ud=0, yaw=0
2025-02-21 14:00:43,773 Sending RC control: lr=0, fb=100, ud=0, yaw=0
2025-02-21 14:00:43,815 Sending RC control: lr=0, fb=100, ud=0, yaw=0
2025-02-21 14:00:43,866 Sending RC control: lr=0, fb=100, ud=0, yaw=0
2025-02-21 14:00:43,899 Sending RC control: lr=0, fb=100, ud=0, yaw=0
2025-02-21 14:00:43,934 Sending RC control: lr=0, fb=100, ud=0, yaw=0
2025-02-21 14:00:43,967 Sending RC control: lr=0, fb=100, ud=0, yaw=0
2025-02-21 14:00:44,001 Sending RC control: lr=0, fb=100, ud=0, yaw=0
2025-02-21 14:00:44,040 Sending RC control: lr=0, fb=100, ud=0, yaw=0
2025-02-21 14:00:44,074 Sending RC control: lr=0, fb=100, ud=0, yaw=0
2025-02-21 14:00:44,108 Sending RC control: lr=0, fb=100, ud=0, yaw=0
2025-02-21 14:00:44,141 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:44,176 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:44,208 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:44,243 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:44,276 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:44,310 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:44,343 Sending RC control: lr=0, fb=0, ud=0, yaw=0
