2025-01-29 14:00:02,616 Tello instance was initialized. Host: '192.168.10.1'. Port: '8889'.
2025-01-29 14:00:02,735 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:02,782 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:02,818 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:02,852 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:02,885 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:02,919 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:02,953 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:02,987 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,021 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,057 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,092 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,129 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,162 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,196 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,228 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,262 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,295 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,329 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,364 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,399 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,433 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,468 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,501 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,535 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,568 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,602 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,640 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,687 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,726 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,760 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,793 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:03,828 drone taking off
2025-01-29 14:00:03,830 battery: 57
2025-01-29 14:00:08,386 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:08,417 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:08,450 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:08,482 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:08,517 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:08,550 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:08,586 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:08,619 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:08,653 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:08,686 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:08,720 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:08,755 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:08,788 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:08,822 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:08,856 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:08,890 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:08,922 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:08,956 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:08,990 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,023 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,057 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,091 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,125 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,158 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,191 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,226 Sending RC control: lr=0, fb=0, ud=100, yaw=0
2025-01-29 14:00:09,260 Sending RC control: lr=0, fb=0, ud=100, yaw=0
2025-01-29 14:00:09,295 Sending RC control: lr=0, fb=0, ud=100, yaw=0
2025-01-29 14:00:09,328 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,363 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,395 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,429 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,464 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,498 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,532 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,565 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,598 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,633 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,667 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,700 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,732 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,769 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,803 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,837 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,872 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,907 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 14:00:09,941 Sending RC control: lr=0, fb=0, ud=0, yaw=0
